delta_x,delta_y,delta_z,acc_x,acc_y,acc_z,pot_x,pot_y,pot_z
0.608256,0.626106,0.387287,1917.1,616.39,823.829,-95300.7,-30641.3,-40953.3
0.409114,0.77743,0.517962,-100.354,1832.1,635.871,4857.22,-88675.4,-30776.8
0.0763219,0.135836,0.0690591,-2069.7,321.128,-2380.86,22547,-3498.32,25936.7
0.968405,0.83808,0.932773,2485.19,1941.61,2012.62,-14037.2,-10966.9,-11368
0.556579,0.817538,0.713949,266.397,3326.07,1204.67,-7376.14,-92094.1,-33355.6
0.6486,0.352238,0.87314,658.196,-2559.23,2424.81,-18151.3,70576.8,-66869.9
0.290513,0.95854,0.562203,400.825,5641.87,64.3716,-4046.55,-56957.9,-649.867
0.000708679,0.0229875,0.752569,-4527.97,-5131.15,789.74,29092.2,32967.6,-5074.08
0.533689,0.345188,0.359314,861.834,-2101.03,-1138.18,-23699.1,57775.1,31298.1
0.000940126,0.991946,0.796186,-3452.91,2978.37,1895.76,17023.5,-14683.9,-9346.47
0.879278,0.0772258,0.695116,4030,-3770.7,694.173,-21038.1,19684.5,-3623.84
0.856684,0.948692,0.462361,2060.44,4924.79,22.5921,-16690.3,-39892.4,-183.004
0.546363,0.0800136,0.617772,1520.87,-5438.93,-624.862,-15720.3,56218.9,6458.81
0.20744,0.0164176,0.294838,-350.073,-4701.68,-859.814,2441.78,32794.5,5997.25
0.578841,0.981714,0.272877,1287.48,6225.85,-1084.03,-10365.8,-50125.8,8727.76
0.551157,0.285633,0.924766,-219.064,-2548.46,6001.32,2830.28,32925.7,-77536.1
0.323997,0.342374,0.289419,-1356.1,-4060.34,-66.3192,33896.9,101492,1657.71
0.0941297,0.970062,0.507513,-3864.42,4905.24,317.031,38709.1,-49134.7,-3175.63
0.472723,0.515028,0.676896,440.927,464.265,1039.74,-37182.8,-39150.8,-87680.1
0.971853,0.913563,0.424687,4855.13,1765.87,-2960.09,-37835.4,-13761.1,23067.6
0.966955,0.589665,0.944212,3861.12,60.0219,4588.6,-38333.2,-595.897,-45555.6
0.585145,0.580556,0.359057,894.484,-176.111,-620.212,-63847.7,12570.7,44270.3
0.617638,0.441273,0.946937,146.017,1263.17,7081.04,-1483.47,-12833.2,-71940.1
0.188354,0.600566,0.00262167,-2274.41,-66.3226,-5121.56,14685.2,428.226,33068.4
0.674843,0.747361,0.157279,-1288.02,2826.29,-2845.14,34591,-75902.6,76409
0.913289,0.647094,0.893431,3775.67,3030.56,3893.55,-23456.7,-18827.6,-24189
0.0503225,0.909781,0.670912,-4965.42,1567.02,255.415,51998.8,-16410.1,-2674.75
0.996885,0.45122,0.92847,5647.73,-1443.53,2974.36,-38785.9,9913.5,-20426.5
0.000931213,0.398631,0.0536261,-4363.53,-454.42,-4733.26,17537.1,1826.32,19023
0.244148,0.804103,0.879761,-63.5684,1086.03,5024.54,756.304,-12921,-59779.3
0.33808,0.435018,0.590527,177.461,417.821,-68.7098,-40524,-95411.5,15690.2
0.50413,0.893691,0.856317,-1339.54,4467.32,2808.99,15445,-51508.5,-32387.9
0.0935447,0.778032,0.898799,-3064.13,2337.82,3080.34,39770.4,-30343.3,-39980.8
0.272217,0.10861,0.141169,-503.932,-1033.97,-2208.42,15362.5,31520.8,67324.2
0.702872,0.0782045,0.507708,2546.54,-4781.87,-865.988,-24935.5,46823.7,8479.68
0.800349,0.713133,0.265572,3579.32,1878.31,-669.467,-74790.8,-39247.7,13988.7
0.167718,0.745151,0.403092,-3687.75,639.183,-687.112,75875.8,-13151.2,14137.4
0.646245,0.265831,0.893465,979.582,-2352.84,3991.94,-16552.4,39756.8,-67453.3
0.433411,0.0743383,0.208487,-486.513,-4086.78,-844.007,5643.76,47408.4,9790.86
0.659261,0.308099,0.607942,1403.72,-1084.63,-782.878,-76907,59424.8,42892.3
0.200057,0.832857,0.670034,-2826.72,2583.62,-406.039,61118,-55861.8,8779.19
0.37015,0.787327,0.139478,901.005,2455.66,-4171.3,-14014.2,-38195.3,64880.4
0.273547,0.674702,0.204307,-3033.6,-970.726,-4158.07,55703,17824.5,76350.5
0.211314,0.265492,0.539949,-1348.49,-1755.86,-1171.43,41454.2,53977,36011
0.456667,0.990912,0.742372,-602.274,5983.18,2163.97,4798.54,-47670.3,-17241.1
0.573758,0.0613891,0.122572,-365.276,-4210.58,-3159.19,2347.04,27054.6,20299
0.762279,0.207858,0.796677,1761.54,-3752.47,1699.06,-23197.8,49416.3,-22374.9
0.995492,0.353409,0.753441,6152.31,-1180.66,-589.768,-58870.4,11297.5,5643.38
0.355144,0.995741,0.198312,-635.942,6722.03,-2035.04,4052.21,-42832.7,12967.2
